GPART,PARTNER_NAME,REGION,CUSTOMER_SINCE,INDUSTRY
BP100399,Ward PLC,IN-NORTH,2024-03-07,FinServ
BP100400,"Anderson, Henson and Jones",US-WEST,2024-03-13,Media
BP100401,"Higgins, Fox and Hammond",IN-WEST,2024-05-29,Telecom
BP100402,Martinez LLC,US-EAST,2024-04-26,Retail
BP100403,Owens-Holmes,US-WEST,2024-01-24,Manufacturing
BP100404,"Bowman, White and Burch",IN-SOUTH,2024-03-19,Telecom
BP100405,Guerra PLC,IN-WEST,2024-01-28,SaaS
BP100406,Martin Ltd,US-EAST,2024-02-10,SaaS
BP100407,"Jacobson, Singleton and King",IN-WEST,2024-04-24,Retail
BP100408,"Hill, Weber and Mendez",US-WEST,2024-01-17,FinServ
BP100409,"Jackson, David and Moore",IN-EAST,2024-04-29,Manufacturing
BP100410,"Winters, Morgan and Bradshaw",IN-NORTH,2024-01-08,SaaS
BP100411,Miller Ltd,US-EAST,2024-05-19,Manufacturing
BP100412,Curtis-Wang,US-WEST,2024-03-16,Telecom
BP100413,"Johnson, Small and Gardner",IN-SOUTH,2024-04-26,Manufacturing
BP100414,Webb-Ballard,IN-WEST,2024-05-03,Manufacturing
BP100415,Chavez-Barker,US-EAST,2024-01-29,SaaS
BP100416,Washington-Harris,US-EAST,2024-04-19,SaaS
BP100417,Hensley-Flores,IN-WEST,2024-06-27,Retail
BP100418,Hester-Anderson,IN-EAST,2024-03-08,Manufacturing
BP100419,"Rodriguez, Allen and Martinez",IN-WEST,2024-03-22,SaaS
BP100420,Davis LLC,US-EAST,2024-06-20,Manufacturing
BP100421,"Barnes, Estes and Barrera",IN-WEST,2024-05-27,SaaS
BP100422,"Griffith, Lee and Moore",IN-EAST,2024-06-29,FinServ
BP100423,Jimenez-Parker,IN-SOUTH,2024-01-05,FinServ
BP100424,Wagner-Levy,IN-WEST,2024-02-08,Manufacturing
BP100425,Williams-Campbell,IN-EAST,2024-04-18,Manufacturing
BP100426,"Chambers, Mitchell and Smith",IN-NORTH,2024-01-20,FinServ
BP100427,Khan Ltd,IN-NORTH,2024-03-07,Manufacturing
BP100428,Diaz-Morales,US-EAST,2024-04-13,Manufacturing
BP100429,Cox LLC,IN-WEST,2024-01-14,Retail
BP100430,"Cole, Pierce and Bryan",US-EAST,2024-04-22,FinServ
BP100431,"Wilson, Hester and Long",IN-EAST,2024-05-23,FinServ
BP100432,Grant-Diaz,US-WEST,2024-01-27,Retail
BP100433,"Hicks, Porter and Williams",IN-WEST,2024-01-25,Media
BP100434,Brock-Stone,IN-NORTH,2024-01-27,SaaS
BP100435,"Taylor, Velazquez and Flores",IN-WEST,2024-03-12,FinServ
BP100436,"Stevenson, Evans and Rogers",IN-NORTH,2024-05-29,FinServ
BP100437,"Burns, Hart and Wells",US-EAST,2024-01-04,Retail
BP100438,Nunez-Whitney,US-WEST,2024-04-15,FinServ
BP100439,"Wiggins, Soto and Carlson",IN-WEST,2024-02-18,SaaS
BP100440,"Patton, Parsons and Lane",IN-EAST,2024-05-10,Media
BP100441,"Castillo, Warren and Griffith",IN-NORTH,2024-05-20,FinServ
BP100442,Hernandez-Becker,IN-NORTH,2024-01-06,Media
BP100443,"Rodriguez, Smith and Edwards",IN-WEST,2024-01-28,Media
BP100444,"Harris, Shaw and Carr",IN-WEST,2024-03-26,Retail
BP100445,"Luna, Thornton and Stone",US-WEST,2024-04-11,Media
BP100446,"Mendoza, Bennett and Frye",US-EAST,2024-03-24,SaaS
BP100447,"Peterson, Gomez and Ingram",US-EAST,2024-05-10,Telecom
BP100448,"Lara, Baker and Washington",IN-SOUTH,2024-06-22,Telecom
BP100449,Grant-Walker,US-WEST,2024-06-25,FinServ
BP100450,Wise-Bush,IN-EAST,2024-05-04,Retail
BP100451,Stewart-Bailey,IN-NORTH,2024-06-17,Manufacturing
BP100452,"Hill, Martinez and Rhodes",IN-EAST,2024-03-09,Manufacturing
BP100453,Cardenas-Blevins,US-WEST,2024-05-25,FinServ
BP100454,Williams-Moses,IN-EAST,2024-01-15,SaaS
BP100455,Douglas-Burgess,IN-SOUTH,2024-02-08,Media
BP100456,"Nelson, Hoffman and Nelson",IN-NORTH,2024-01-20,FinServ
BP100457,"Matthews, Sanchez and Santiago",US-WEST,2024-04-06,Telecom
BP100458,"Hall, Garcia and Rivera",IN-WEST,2024-03-26,Manufacturing
BP100459,"Townsend, Smith and Pierce",US-EAST,2024-06-17,Media
BP100460,Delgado-Gilmore,IN-EAST,2024-03-27,Retail
BP100461,"Gonzalez, Maynard and Morris",US-EAST,2024-04-26,Media
BP100462,Pearson and Sons,IN-EAST,2024-04-06,Manufacturing
BP100463,"Jefferson, Johnson and Dorsey",US-EAST,2024-03-16,Media
BP100464,Peck Inc,IN-WEST,2024-06-29,Manufacturing
BP100465,French-Lopez,IN-EAST,2024-05-15,Media
BP100466,Mcdowell-Smith,IN-WEST,2024-04-12,Media
BP100467,Hebert LLC,IN-NORTH,2024-02-21,SaaS
BP100468,"Daniels, Snyder and Mays",US-WEST,2024-06-03,Telecom
BP100469,Nelson-Lamb,IN-WEST,2024-02-29,SaaS
BP100470,"Stevens, Scott and Lopez",US-WEST,2024-05-13,Retail
BP100471,Bradley-Todd,US-WEST,2024-02-01,Telecom
BP100472,"Prince, Wilcox and Robertson",IN-NORTH,2024-01-16,Telecom
BP100473,"Davis, Holden and Woods",US-WEST,2024-06-18,FinServ
BP100474,Green and Sons,IN-WEST,2024-03-21,Manufacturing
BP100475,Finley-Turner,US-EAST,2024-05-10,Retail
BP100476,Green LLC,US-EAST,2024-05-05,Media
BP100477,Contreras Group,IN-SOUTH,2024-02-25,Telecom
BP100478,Parks-Leblanc,IN-WEST,2024-06-09,Telecom
BP100479,Vaughn-Fowler,IN-WEST,2024-06-19,Telecom
BP100480,Mendez-Robinson,IN-WEST,2024-01-25,SaaS
BP100481,Gibson PLC,US-WEST,2024-03-08,Retail
BP100482,"Dunn, Ruiz and Medina",IN-NORTH,2024-04-30,Media
BP100483,Gill Ltd,IN-SOUTH,2024-05-16,SaaS
BP100484,Fox PLC,US-EAST,2024-05-07,Media
BP100485,Stark Inc,US-WEST,2024-01-12,Telecom
BP100486,"Leach, Harris and Herrera",US-WEST,2024-01-30,FinServ
BP100487,"Ramos, Frazier and Love",IN-SOUTH,2024-03-29,SaaS
BP100488,"Griffin, Brown and Anderson",US-EAST,2024-03-16,Media
BP100489,"Brown, Ford and Roman",IN-EAST,2024-05-10,FinServ
BP100490,Scott-Smith,IN-EAST,2024-02-09,Media
BP100491,Williams LLC,IN-NORTH,2024-05-06,SaaS
BP100492,"Mcknight, Michael and Jones",IN-WEST,2024-06-18,FinServ
BP100493,Mitchell and Sons,IN-SOUTH,2024-05-19,SaaS
BP100494,"Good, Brewer and Fisher",IN-EAST,2024-06-28,FinServ
BP100495,West-Stark,IN-SOUTH,2024-03-09,Retail
BP100496,Vega Ltd,US-WEST,2024-06-07,Manufacturing
BP100497,Valdez LLC,IN-SOUTH,2024-01-22,Telecom
BP100498,"Long, Anderson and Irwin",IN-NORTH,2024-05-31,Retail
BP100499,Good Group,IN-WEST,2024-05-01,SaaS
BP100500,"Coleman, Gray and Hall",IN-NORTH,2024-03-24,SaaS
