GPART,CONTRACT_ACCOUNT,PLAN_TYPE,CONTRACT_START,BASE_FEE,USAGE_RATE,STATUS
BP100378,CA200377,STANDARD,2024-05-25,1499,0.8,ACTIVE
BP100379,CA200378,ENTERPRISE,2024-02-02,9999,1.5,ACTIVE
BP100380,CA200379,PREMIUM,2024-04-29,3999,1.2,ACTIVE
BP100381,CA200380,BASIC,2024-01-31,499,0.5,CHURNED
BP100382,CA200381,BASIC,2024-06-06,499,0.5,ACTIVE
BP100383,CA200382,STANDARD,2024-04-25,1499,0.8,ACTIVE
BP100384,CA200383,STANDARD,2024-03-14,1499,0.8,ACTIVE
BP100385,CA200384,BASIC,2024-01-26,499,0.5,ACTIVE
BP100386,CA200385,BASIC,2024-02-12,499,0.5,ACTIVE
BP100387,CA200386,PREMIUM,2024-04-19,3999,1.2,ACTIVE
BP100388,CA200387,STANDARD,2024-01-14,1499,0.8,ACTIVE
BP100389,CA200388,STANDARD,2024-02-26,1499,0.8,ACTIVE
BP100390,CA200389,STANDARD,2024-05-13,1499,0.8,CHURNED
BP100391,CA200390,STANDARD,2024-01-22,1499,0.8,ACTIVE
BP100392,CA200391,BASIC,2024-04-20,499,0.5,ACTIVE
BP100393,CA200392,ENTERPRISE,2024-06-03,9999,1.5,ACTIVE
BP100394,CA200393,BASIC,2024-06-29,499,0.5,ACTIVE
BP100395,CA200394,PREMIUM,2024-05-08,3999,1.2,ACTIVE
BP100396,CA200395,BASIC,2024-05-08,499,0.5,ACTIVE
BP100397,CA200396,PREMIUM,2024-01-22,3999,1.2,ACTIVE
BP100398,CA200397,BASIC,2024-05-23,499,0.5,ACTIVE
BP100399,CA200398,BASIC,2024-03-07,499,0.5,CHURNED
BP100400,CA200399,BASIC,2024-03-13,499,0.5,ACTIVE
BP100401,CA200400,BASIC,2024-05-29,499,0.5,ACTIVE
BP100402,CA200401,STANDARD,2024-04-26,1499,0.8,ACTIVE
BP100403,CA200402,STANDARD,2024-01-24,1499,0.8,CHURNED
BP100404,CA200403,BASIC,2024-03-19,499,0.5,ACTIVE
BP100405,CA200404,STANDARD,2024-01-28,1499,0.8,ACTIVE
BP100406,CA200405,PREMIUM,2024-02-10,3999,1.2,ACTIVE
BP100407,CA200406,BASIC,2024-04-24,499,0.5,ACTIVE
BP100408,CA200407,STANDARD,2024-01-17,1499,0.8,CHURNED
BP100409,CA200408,BASIC,2024-04-29,499,0.5,ACTIVE
BP100410,CA200409,BASIC,2024-01-08,499,0.5,ACTIVE
BP100411,CA200410,BASIC,2024-05-19,499,0.5,ACTIVE
BP100412,CA200411,PREMIUM,2024-03-16,3999,1.2,ACTIVE
BP100413,CA200412,STANDARD,2024-04-26,1499,0.8,ACTIVE
BP100414,CA200413,PREMIUM,2024-05-03,3999,1.2,CHURNED
BP100415,CA200414,STANDARD,2024-01-29,1499,0.8,ACTIVE
BP100416,CA200415,STANDARD,2024-04-19,1499,0.8,ACTIVE
BP100417,CA200416,BASIC,2024-06-27,499,0.5,ACTIVE
BP100418,CA200417,STANDARD,2024-03-08,1499,0.8,ACTIVE
BP100419,CA200418,PREMIUM,2024-03-22,3999,1.2,ACTIVE
BP100420,CA200419,BASIC,2024-06-20,499,0.5,ACTIVE
BP100421,CA200420,STANDARD,2024-05-27,1499,0.8,ACTIVE
BP100422,CA200421,BASIC,2024-06-29,499,0.5,ACTIVE
BP100423,CA200422,STANDARD,2024-01-05,1499,0.8,ACTIVE
BP100424,CA200423,ENTERPRISE,2024-02-08,9999,1.5,ACTIVE
BP100425,CA200424,BASIC,2024-04-18,499,0.5,ACTIVE
BP100426,CA200425,STANDARD,2024-01-20,1499,0.8,ACTIVE
BP100427,CA200426,BASIC,2024-03-07,499,0.5,ACTIVE
BP100428,CA200427,STANDARD,2024-04-13,1499,0.8,ACTIVE
BP100429,CA200428,BASIC,2024-01-14,499,0.5,CHURNED
BP100430,CA200429,BASIC,2024-04-22,499,0.5,ACTIVE
BP100431,CA200430,STANDARD,2024-05-23,1499,0.8,CHURNED
BP100432,CA200431,BASIC,2024-01-27,499,0.5,ACTIVE
BP100433,CA200432,PREMIUM,2024-01-25,3999,1.2,ACTIVE
BP100434,CA200433,STANDARD,2024-01-27,1499,0.8,ACTIVE
BP100435,CA200434,ENTERPRISE,2024-03-12,9999,1.5,ACTIVE
BP100436,CA200435,BASIC,2024-05-29,499,0.5,ACTIVE
BP100437,CA200436,BASIC,2024-01-04,499,0.5,ACTIVE
BP100438,CA200437,ENTERPRISE,2024-04-15,9999,1.5,ACTIVE
BP100439,CA200438,ENTERPRISE,2024-02-18,9999,1.5,CHURNED
BP100440,CA200439,STANDARD,2024-05-10,1499,0.8,ACTIVE
BP100441,CA200440,STANDARD,2024-05-20,1499,0.8,ACTIVE
BP100442,CA200441,BASIC,2024-01-06,499,0.5,ACTIVE
BP100443,CA200442,PREMIUM,2024-01-28,3999,1.2,ACTIVE
BP100444,CA200443,BASIC,2024-03-26,499,0.5,ACTIVE
BP100445,CA200444,BASIC,2024-04-11,499,0.5,CHURNED
BP100446,CA200445,PREMIUM,2024-03-24,3999,1.2,ACTIVE
BP100447,CA200446,STANDARD,2024-05-10,1499,0.8,ACTIVE
BP100448,CA200447,STANDARD,2024-06-22,1499,0.8,ACTIVE
BP100449,CA200448,ENTERPRISE,2024-06-25,9999,1.5,ACTIVE
BP100450,CA200449,PREMIUM,2024-05-04,3999,1.2,ACTIVE
BP100451,CA200450,STANDARD,2024-06-17,1499,0.8,ACTIVE
BP100452,CA200451,STANDARD,2024-03-09,1499,0.8,ACTIVE
BP100453,CA200452,STANDARD,2024-05-25,1499,0.8,ACTIVE
BP100454,CA200453,BASIC,2024-01-15,499,0.5,ACTIVE
BP100455,CA200454,BASIC,2024-02-08,499,0.5,ACTIVE
BP100456,CA200455,STANDARD,2024-01-20,1499,0.8,ACTIVE
BP100457,CA200456,PREMIUM,2024-04-06,3999,1.2,ACTIVE
BP100458,CA200457,STANDARD,2024-03-26,1499,0.8,ACTIVE
BP100459,CA200458,BASIC,2024-06-17,499,0.5,ACTIVE
BP100460,CA200459,PREMIUM,2024-03-27,3999,1.2,ACTIVE
BP100461,CA200460,STANDARD,2024-04-26,1499,0.8,ACTIVE
BP100462,CA200461,BASIC,2024-04-06,499,0.5,CHURNED
BP100463,CA200462,BASIC,2024-03-16,499,0.5,CHURNED
BP100464,CA200463,STANDARD,2024-06-29,1499,0.8,ACTIVE
BP100465,CA200464,BASIC,2024-05-15,499,0.5,ACTIVE
BP100466,CA200465,ENTERPRISE,2024-04-12,9999,1.5,ACTIVE
BP100467,CA200466,STANDARD,2024-02-21,1499,0.8,ACTIVE
BP100468,CA200467,BASIC,2024-06-03,499,0.5,ACTIVE
BP100469,CA200468,STANDARD,2024-02-29,1499,0.8,ACTIVE
BP100470,CA200469,BASIC,2024-05-13,499,0.5,ACTIVE
BP100471,CA200470,ENTERPRISE,2024-02-01,9999,1.5,ACTIVE
BP100472,CA200471,ENTERPRISE,2024-01-16,9999,1.5,ACTIVE
BP100473,CA200472,PREMIUM,2024-06-18,3999,1.2,ACTIVE
BP100474,CA200473,ENTERPRISE,2024-03-21,9999,1.5,ACTIVE
BP100475,CA200474,BASIC,2024-05-10,499,0.5,ACTIVE
BP100476,CA200475,STANDARD,2024-05-05,1499,0.8,ACTIVE
BP100477,CA200476,BASIC,2024-02-25,499,0.5,CHURNED
BP100478,CA200477,STANDARD,2024-06-09,1499,0.8,ACTIVE
BP100479,CA200478,BASIC,2024-06-19,499,0.5,ACTIVE
BP100480,CA200479,PREMIUM,2024-01-25,3999,1.2,ACTIVE
BP100481,CA200480,STANDARD,2024-03-08,1499,0.8,ACTIVE
BP100482,CA200481,BASIC,2024-04-30,499,0.5,ACTIVE
BP100483,CA200482,STANDARD,2024-05-16,1499,0.8,ACTIVE
BP100484,CA200483,BASIC,2024-05-07,499,0.5,CHURNED
BP100485,CA200484,BASIC,2024-01-12,499,0.5,CHURNED
BP100486,CA200485,BASIC,2024-01-30,499,0.5,ACTIVE
BP100487,CA200486,PREMIUM,2024-03-29,3999,1.2,ACTIVE
BP100488,CA200487,BASIC,2024-03-16,499,0.5,ACTIVE
BP100489,CA200488,BASIC,2024-05-10,499,0.5,ACTIVE
BP100490,CA200489,BASIC,2024-02-09,499,0.5,ACTIVE
BP100491,CA200490,ENTERPRISE,2024-05-06,9999,1.5,CHURNED
BP100492,CA200491,STANDARD,2024-06-18,1499,0.8,CHURNED
BP100493,CA200492,ENTERPRISE,2024-05-19,9999,1.5,ACTIVE
BP100494,CA200493,ENTERPRISE,2024-06-28,9999,1.5,ACTIVE
BP100495,CA200494,BASIC,2024-03-09,499,0.5,ACTIVE
BP100496,CA200495,ENTERPRISE,2024-06-07,9999,1.5,ACTIVE
BP100497,CA200496,PREMIUM,2024-01-22,3999,1.2,ACTIVE
BP100498,CA200497,BASIC,2024-05-31,499,0.5,ACTIVE
BP100499,CA200498,STANDARD,2024-05-01,1499,0.8,ACTIVE
BP100500,CA200499,STANDARD,2024-03-24,1499,0.8,ACTIVE
